ppm,Intensity,Sum,Residue,Peak 1,Peak 2,Peak 3,Peak 4
-904.003,1.60435e+06,0,1.60435e+06,0,0,0,0
-905.23,1.66419e+06,0,1.66419e+06,0,0,0,0
-906.457,1.72403e+06,0,1.72403e+06,0,0,0,0
-907.684,1.77229e+06,0,1.77229e+06,0,0,0,0
-908.911,1.82056e+06,0,1.82056e+06,0,0,0,0
-910.138,1.84917e+06,0,1.84917e+06,0,0,0,0
-911.365,1.87779e+06,0,1.87779e+06,0,0,0,0
-912.592,1.90851e+06,0,1.90851e+06,0,0,0,0
-913.818,1.93923e+06,0,1.93923e+06,0,0,0,0
-915.045,1.98959e+06,0,1.98959e+06,0,0,0,0
-916.272,2.03996e+06,0,2.03996e+06,0,0,0,0
-917.499,2.09462e+06,0,2.09462e+06,0,0,0,0
-918.726,2.14927e+06,0,2.14927e+06,0,0,0,0
-919.953,2.20392e+06,0,2.20392e+06,0,0,0,0
-921.18,2.25858e+06,0,2.25858e+06,0,0,0,0
-922.407,2.32183e+06,0,2.32183e+06,0,0,0,0
-923.634,2.38508e+06,0,2.38508e+06,0,0,0,0
-924.86,2.43991e+06,0,2.43991e+06,0,0,0,0
-926.087,2.49474e+06,0,2.49474e+06,0,0,0,0
-927.314,2.5336e+06,0,2.5336e+06,0,0,0,0
-928.541,2.57247e+06,0,2.57247e+06,0,0,0,0
-929.768,2.5973e+06,0,2.5973e+06,0,0,0,0
-930.995,2.62214e+06,0,2.62214e+06,0,0,0,0
-932.222,2.63162e+06,0,2.63162e+06,0,0,0,0
-933.449,2.6411e+06,0,2.6411e+06,0,0,0,0
-934.676,2.64638e+06,0,2.64638e+06,0,0,0,0
-935.903,2.65165e+06,0,2.65165e+06,0,0,0,0
-937.129,2.66901e+06,0,2.66901e+06,0,0,0,0
-938.356,2.68636e+06,0,2.68636e+06,0,0,0,0
-939.583,2.71775e+06,0,2.71775e+06,0,0,0,0
-940.81,2.74914e+06,0,2.74914e+06,0,0,0,0
-942.037,2.78386e+06,0,2.78386e+06,0,0,0,0
-943.264,2.81858e+06,0,2.81858e+06,0,0,0,0
-944.491,2.85752e+06,0,2.85752e+06,0,0,0,0
-945.718,2.89645e+06,0,2.89645e+06,0,0,0,0
-946.945,2.93827e+06,0,2.93827e+06,0,0,0,0
-948.171,2.9801e+06,0,2.9801e+06,0,0,0,0
-949.398,3.03035e+06,0,3.03035e+06,0,0,0,0
-950.625,3.08059e+06,0,3.08059e+06,0,0,0,0
-951.852,3.12988e+06,0,3.12988e+06,0,0,0,0
-953.079,3.17916e+06,0,3.17916e+06,0,0,0,0
-954.306,3.19757e+06,0,3.19757e+06,0,0,0,0
-955.533,3.21597e+06,0,3.21597e+06,0,0,0,0
-956.76,3.2172e+06,0,3.2172e+06,0,0,0,0
-957.987,3.21843e+06,0,3.21843e+06,0,0,0,0
-959.214,3.23369e+06,0,3.23369e+06,0,0,0,0
-960.44,3.24895e+06,0,3.24895e+06,0,0,0,0
-961.667,3.26071e+06,0,3.26071e+06,0,0,0,0
-962.894,3.27246e+06,0,3.27246e+06,0,0,0,0
-964.121,3.25895e+06,0,3.25895e+06,0,0,0,0
-965.348,3.24545e+06,0,3.24545e+06,0,0,0,0
-966.575,3.23378e+06,0,3.23378e+06,0,0,0,0
-967.802,3.22211e+06,0,3.22211e+06,0,0,0,0
-969.029,3.2301e+06,0,3.2301e+06,0,0,0,0
-970.255,3.23808e+06,0,3.23808e+06,0,0,0,0
-971.482,3.25544e+06,0,3.25544e+06,0,0,0,0
-972.709,3.27281e+06,0,3.27281e+06,0,0,0,0
-973.936,3.28176e+06,0,3.28176e+06,0,0,0,0
-975.163,3.2907e+06,0,3.2907e+06,0,0,0,0
-976.39,3.29307e+06,0,3.29307e+06,0,0,0,0
-977.617,3.29544e+06,0,3.29544e+06,0,0,0,0
-978.844,3.2936e+06,0,3.2936e+06,0,0,0,0
-980.071,3.29176e+06,0,3.29176e+06,0,0,0,0
-981.298,3.27035e+06,0,3.27035e+06,0,0,0,0
-982.524,3.24895e+06,0,3.24895e+06,0,0,0,0
-983.751,3.21352e+06,0,3.21352e+06,0,0,0,0
-984.978,3.17808e+06,0,3.17808e+06,0,0,0,0
-986.205,3.12791e+06,0,3.12791e+06,0,0,0,0
-987.432,3.07774e+06,0,3.07774e+06,0,0,0,0
-988.659,3.01915e+06,0,3.01915e+06,0,0,0,0
-989.886,2.96056e+06,0,2.96056e+06,0,0,0,0
-991.113,2.92337e+06,0,2.92337e+06,0,0,0,0
-992.34,2.88619e+06,0,2.88619e+06,0,0,0,0
-993.566,2.85742e+06,0,2.85742e+06,0,0,0,0
-994.793,2.82865e+06,0,2.82865e+06,0,0,0,0
-996.02,2.77681e+06,0,2.77681e+06,0,0,0,0
-997.247,2.72496e+06,0,2.72496e+06,0,0,0,0
-998.474,2.65909e+06,0,2.65909e+06,0,0,0,0
-999.701,2.59321e+06,0,2.59321e+06,0,0,0,0
-1000.93,2.52918e+06,0,2.52918e+06,0,0,0,0
-1002.15,2.46515e+06,0,2.46515e+06,0,0,0,0
-1003.38,2.40953e+06,0,2.40953e+06,0,0,0,0
-1004.61,2.35392e+06,0,2.35392e+06,0,0,0,0
-1005.84,2.29839e+06,0,2.29839e+06,0,0,0,0
-1007.06,2.24287e+06,0,2.24287e+06,0,0,0,0
-1008.29,2.19155e+06,0,2.19155e+06,0,0,0,0
-1009.52,2.14024e+06,0,2.14024e+06,0,0,0,0
-1010.74,2.08006e+06,0,2.08006e+06,0,0,0,0
-1011.97,2.01989e+06,0,2.01989e+06,0,0,0,0
-1013.2,1.94568e+06,0,1.94568e+06,0,0,0,0
-1014.42,1.87147e+06,0,1.87147e+06,0,0,0,0
-1015.65,1.80917e+06,0,1.80917e+06,0,0,0,0
-1016.88,1.74687e+06,0,1.74687e+06,0,0,0,0
-1018.1,1.70421e+06,0,1.70421e+06,0,0,0,0
-1019.33,1.66156e+06,0,1.66156e+06,0,0,0,0
-1020.56,1.62171e+06,0,1.62171e+06,0,0,0,0
-1021.78,1.58186e+06,0,1.58186e+06,0,0,0,0
-1023.01,1.55044e+06,0,1.55044e+06,0,0,0,0
-1024.24,1.51901e+06,0,1.51901e+06,0,0,0,0
-1025.47,1.49477e+06,0,1.49477e+06,0,0,0,0
-1026.69,1.47054e+06,0,1.47054e+06,0,0,0,0
-1027.92,1.43227e+06,0,1.43227e+06,0,0,0,0
-1029.15,1.394e+06,0,1.394e+06,0,0,0,0
-1030.37,1.33275e+06,0,1.33275e+06,0,0,0,0
-1031.6,1.2715e+06,0,1.2715e+06,0,0,0,0
-1032.83,1.21025e+06,0,1.21025e+06,0,0,0,0
-1034.05,1.14901e+06,0,1.14901e+06,0,0,0,0
-1035.28,1.1216e+06,0,1.1216e+06,0,0,0,0
-1036.51,1.0942e+06,0,1.0942e+06,0,0,0,0
-1037.73,1.09205e+06,0,1.09205e+06,0,0,0,0
-1038.96,1.08991e+06,0,1.08991e+06,0,0,0,0
-1040.19,1.08338e+06,0,1.08338e+06,0,0,0,0
-1041.42,1.07685e+06,0,1.07685e+06,0,0,0,0
-1042.64,1.04506e+06,0,1.04506e+06,0,0,0,0
-1043.87,1.01327e+06,0,1.01327e+06,0,0,0,0
-1045.1,964908,0,964908,0,0,0,0
-1046.32,916541,0,916541,0,0,0,0
-1047.55,876595,0,876595,0,0,0,0
-1048.78,836649,0,836649,0,0,0,0
-1050,830383,0,830383,0,0,0,0
-1051.23,824117,0,824117,0,0,0,0
-1052.46,837499,0,837499,0,0,0,0
-1053.68,850880,0,850880,0,0,0,0
-1054.91,851324,0,851324,0,0,0,0
-1056.14,851768,0,851768,0,0,0,0
